sample;exp_Vp_Z;exp_Vp_X;exp_Vp_Y;exp_Vs_Z;exp_Vs_X;exp_Vs_Y;calc_Vp_Z;calc_Vp_X;calc_Vp_Y;calc_Vs_Z;calc_Vs_X;calc_Vs_Y
ANL;4.205;6.174;6.416;2.500;3.928;3.916;5.795;7.298;7.163;3.688;4.463;4.468
BEI;3.516;6.561;6.671;2.751;4.124;4.142;5.862;7.092;7.165;3.606;4.416;4.416
CA;5.063;6.656;6.727;2.873;4.235;4.265;5.503;7.271;7.341;3.485;4.581;4.582
EUP;3.330;6.575;6.655;2.659;4.109;4.089;5.812;7.283;7.354;3.536;4.480;4.479
GXE;4.685;6.653;6.709;2.605;4.197;4.189;5.817;7.228;7.293;3.537;4.539;4.540
IRO;4.013;6.276;6.721;2.873;3.840;3.876;5.906;7.521;7.358;3.626;4.526;4.521
OSO;3.679;6.501;6.630;2.745;4.051;4.052;5.602;7.255;7.278;3.551;4.498;4.488
