sample;exp_Vp_Z;exp_Vp_X;exp_Vp_Y;exp_Vs_Z;exp_Vs_X;exp_Vs_Y;calc_Vp_Z;calc_Vp_X;calc_Vp_Y;calc_Vs_Z;calc_Vs_X;calc_Vs_Y
ANL;4.205;6.174;6.416;2.500;3.928;3.916;5.592;6.904;7.087;3.438;4.273;4.268
BEI;3.516;6.561;6.671;2.751;4.124;4.142;5.708;6.870;6.971;3.402;4.229;4.229
CA;5.063;6.656;6.727;2.873;4.235;4.265;5.399;7.105;7.207;3.298;4.452;4.453
EUP;3.330;6.575;6.655;2.659;4.109;4.089;5.666;7.064;7.173;3.316;4.300;4.300
GXE;4.685;6.653;6.709;2.605;4.197;4.189;5.706;7.060;7.159;3.359;4.403;4.405
IRO;4.013;6.276;6.721;2.873;3.840;3.876;5.757;7.115;7.342;3.382;4.341;4.346
OSO;3.679;6.501;6.630;2.745;4.051;4.052;5.499;7.066;7.121;3.347;4.343;4.333
